# Rime user dictionary
#@/db_name	ryen.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	206684
#@/user_id	mac_didi
a 	啊	c=96 d=1 t=206266
wang ji xie 	忘記寫	c=1 d=1 t=118266
wang jing 	望京	c=2 d=1 t=44528
wang kai 	王凱	c=1 d=1 t=83583
wang le 	忘了	c=2 d=1 t=190261
wang lu 	網路	c=1 d=0.1 t=203042
wang lu yi 	網路一	c=1 d=1 t=203043
wang luo 	網絡	c=178 d=1.72261 t=203830
wang luo ceng 	網絡層	c=1 d=1 t=200719
wang luo zhong 	網絡中	c=1 d=1 t=6394
wang pan 	網盤	c=4 d=1.956 t=104875
wang qian 	往前	c=3 d=1 t=118739
wang que 	忘卻	c=1 d=1 t=103141
wang shan 	望山	c=1 d=1 t=62819
wang shang 	網上	c=50 d=1.10076 t=191705
wang shi 	往事	c=3 d=1 t=152264
wang su 	網速	c=2 d=1.01031 t=58635
wang wang 	往往	c=3 d=1 t=153861
wang wen sheng 	王文聲	c=3 d=1 t=167341
wang xian 	網線	c=1 d=1 t=71243
wang xing 	忘形	c=1 d=1 t=191669
wang ye 	網頁	c=40 d=1.00007 t=197463
wang ye ban 	網頁版	c=2 d=1 t=150716
wang yi 	網易	c=16 d=1 t=205288
wang yi yun 	網易雲	c=4 d=2.75079 t=58524
wang ying 	王穎	c=5 d=1 t=115654
wang you 	網友	c=5 d=1 t=163225
wang zhan 	網站	c=46 d=1 t=195570
wang zhe 	王者	c=4 d=1.99501 t=139621
wang zhi 	網址	c=4 d=1 t=108938
wang zhuang 	網狀	c=11 d=1.91393 t=174020
wang zi 	王子	c=1 d=1 t=145721
wang zi heng 	王子恆	c=3 d=1 t=145726
wei 	位	c=10 d=1 t=193715
wei 	偉	c=17 d=1 t=194253
wei 	僞	c=1 d=1 t=182885
wei 	味	c=2 d=1.99005 t=145624
wei 	唯	c=6 d=1 t=91766
wei 	喂	c=1 d=1 t=6391
wei 	圍	c=1 d=1 t=52262
wei 	威	c=1 d=1 t=48614
wei 	尾	c=2 d=1 t=74753
wei 	微	c=8 d=1 t=192011
wei 	惟	c=1 d=1 t=17442
wei 	未	c=4 d=1 t=154147
wei 	煒	c=4 d=1.00061 t=83243
wei 	爲	c=302 d=2.0866 t=204891
wei 	維	c=45 d=2.94111 t=198678
wei 	薇	c=1 d=1 t=66445
wei 	衛	c=1 d=1 t=33412
wei 	韋	c=31 d=1.09301 t=203551
wei 	魏	c=3 d=1.99501 t=168426
wei bi 	未必	c=1 d=1 t=147608
wei bo 	微博	c=28 d=0.1 t=205543
wei bo shang 	微博上	c=1 d=1 t=205544
wei chi 	維持	c=4 d=1.00002 t=203821
wei chu li 	未處理	c=2 d=1.99501 t=15562
wei da 	偉大	c=3 d=1 t=100269
wei dai ma 	僞代碼	c=3 d=2.34979 t=88550
wei dao 	味道	c=15 d=1 t=199100
wei du 	未讀	c=1 d=1 t=164398
wei du 	維度	c=40 d=1.00003 t=202200
wei du 	緯度	c=1 d=1 t=75894
wei du shang 	維度上	c=3 d=1 t=151211
wei en 	威恩	c=1 d=1 t=66444
wei fan 	違反	c=6 d=1.57312 t=51569
wei fen 	微分	c=1 d=1 t=63436
wei guan 	微觀	c=1 d=1 t=89394
wei hai 	危害	c=1 d=1 t=10672
wei hai 	威海	c=1 d=1 t=5716
wei he 	爲何	c=2 d=1 t=152531
wei hu 	維護	c=24 d=1 t=199715
wei hu ba 	維護吧	c=1 d=1 t=111471
wei ji 	危機	c=7 d=1 t=169195
wei ji 	維基	c=1 d=1 t=21772
wei ji fen 	微積分	c=1 d=1 t=138652
wei jian 	未見	c=2 d=1 t=78912
wei jie jue 	未解決	c=1 d=1 t=134046
wei jie shu 	未結束	c=1 d=1 t=75611
wei ju 	畏懼	c=1 d=1 t=147522
wei kuai 	爲快	c=1 d=1 t=54530
wei lai 	未來	c=33 d=1 t=205787
wei lan 	圍欄	c=1 d=1 t=202801
wei lan 	蔚藍	c=2 d=1 t=115148
wei le 	爲了	c=14 d=1.11025 t=204248
wei li 	威力	c=1 d=1 t=89156
wei li 	爲例	c=3 d=1 t=83667
wei li 	爲力	c=1 d=1 t=99695
wei mei 	唯美	c=1 d=1 t=92581
wei ming 	僞命	c=0 d=0.1 t=160607
wei ming ti 	僞命題	c=1 d=1 t=160608
wei nan 	渭南	c=1 d=1 t=197307
wei neng 	未能	c=3 d=1.79487 t=127109
wei ni 	爲你	c=1 d=1 t=113365
wei qi 	圍棋	c=4 d=2.64169 t=160798
wei qu 	委屈	c=2 d=1 t=144399
wei quan 	維權	c=1 d=1 t=133462
wei ran 	蔚然	c=1 d=1 t=110842
wei rao 	圍繞	c=5 d=1 t=177601
wei ruan 	微軟	c=25 d=1 t=193277
wei shang 	唯上	c=1 d=1 t=187577
wei shang 	圍上	c=1 d=1 t=187576
wei shen 	爲什	c=7 d=1 t=192313
wei shen me 	爲什麼	c=238 d=1.02295 t=206637
wei shen me yao 	爲什麼要	c=5 d=1.00104 t=203972
wei sheng jian 	衛生間	c=1 d=1 t=168362
wei sheng su 	維生素	c=1 d=1 t=114919
wei shi 	衛視	c=3 d=1 t=114728
wei shi yong 	未使用	c=1 d=1 t=18663
wei shu 	位數	c=3 d=1 t=192753
wei ti 	爲題	c=2 d=1 t=155371
wei tiao 	微調	c=1 d=1 t=96711
wei tu 	位圖	c=0 d=7.8095e-05 t=4073
wei wan cheng 	未完成	c=1 d=1 t=70347
wei wang 	爲王	c=1 d=1 t=122567
wei wen 	慰問	c=1 d=1 t=42347
wei wo suo yong 	爲我所用	c=1 d=1 t=170316
wei xi guan 	微習慣	c=2 d=1.99501 t=98420
wei xia mian 	爲下面	c=1 d=1 t=12212
wei xian 	危險	c=10 d=1 t=180862
wei xiao 	微小	c=1 d=1 t=57491
wei xie 	威脅	c=0 d=0.1 t=10838
wei xie dao 	威脅到	c=1 d=1 t=10839
wei xin 	微信	c=85 d=1.02774 t=206659
wei xin du shu 	微信讀書	c=1 d=1 t=201149
wei xin hao 	維信號	c=1 d=1 t=11933
wei xin ming 	微信名	c=1 d=1 t=125272
wei xin qun 	微信羣	c=4 d=1.00004 t=178356
wei xin yue du 	微信閱讀	c=1 d=1 t=99016
wei xin zhong 	微信中	c=1 d=1 t=206660
wei yi 	唯一	c=21 d=1 t=190935
wei yi de 	唯一的	c=3 d=1 t=198428
wei yu 	位於	c=1 d=1 t=140326
wei yuan zhang 	委員長	c=1 d=1 t=182665
wei zheng 	爲正	c=1 d=1 t=108687
wei zhi 	位置	c=54 d=1 t=202125
wei zhi 	未知	c=2 d=1 t=171541
wei zhi 	爲止	c=3 d=1 t=190639
wei zhi de 	未知的	c=1 d=1 t=196557
wei zhu 	爲主	c=1 d=0.000596161 t=4073
wei zhun 	爲準	c=1 d=0.1 t=199083
wei zhun ba 	爲準吧	c=1 d=1 t=199084
wei zi 	位子	c=5 d=1 t=168439
wen 	問	c=166 d=1.13964 t=203423
wen 	文	c=52 d=1.97071 t=205359
wen 	穩	c=4 d=1 t=170719
wen 	紋	c=4 d=1 t=141706
wen 	聞	c=2 d=1 t=159150
wen 	雯	c=8 d=1 t=146001
wen an 	文案	c=1 d=1 t=42100
wen ba 	問吧	c=2 d=0.1 t=189623
wen ben 	文本	c=40 d=1 t=196874
wen ben de 	文本的	c=1 d=1 t=191300
wen ben kuang 	文本框	c=2 d=1 t=138076
wen bi 	文筆	c=1 d=1 t=175086
wen chu 	問出	c=1 d=1 t=143088
wen da 	問答	c=1 d=1 t=95341
wen dang 	文檔	c=106 d=1.97531 t=200890
wen dang ku 	文檔庫	c=1 d=1 t=104264
wen dao 	問道	c=1 d=1 t=89039
wen de 	問得	c=3 d=1 t=156075
wen dian 	問點	c=1 d=1 t=20857
wen ding 	穩定	c=23 d=1 t=188727
wen ding xing 	穩定性	c=9 d=1 t=198684
wen du 	溫度	c=1 d=1 t=184181
wen du ji 	溫度計	c=1 d=1 t=114653
wen gao 	文稿	c=2 d=1 t=65793
wen ge 	問個	c=1 d=1 t=116337
wen guo 	問過	c=2 d=1 t=183964
wen hou 	問候	c=1 d=1 t=58118
wen hua 	文化	c=6 d=1 t=171717
wen hua she 	文化社	c=1 d=1 t=16090
wen ji 	文集	c=1 d=1 t=127302
wen jia 	文價	c=1 d=1 t=172023
wen jian 	文件	c=374 d=1.0001 t=205512
wen jian chuang jian 	文件創建	c=1 d=1 t=150512
wen jian jia 	文件夾	c=26 d=1.07101 t=191819
wen jian ming 	文件名	c=3 d=1 t=148668
wen juan 	問卷	c=1 d=1 t=94360
wen jun 	文君	c=51 d=1.00092 t=204823
wen li 	紋理	c=2 d=1 t=201822
wen lun 	文論	c=1 d=1 t=204060
wen ming 	文明	c=56 d=1 t=182161
wen ming shi 	文明史	c=1 d=1 t=92769
wen ni 	問你	c=2 d=1 t=103990
wen nuan 	溫暖	c=1 d=1 t=50032
wen rou 	溫柔	c=1 d=1 t=29748
wen shen me 	問什麼	c=1 d=1 t=180526
wen sheng 	文聲	c=35 d=1 t=203017
wen shi 	文石	c=21 d=1 t=190979
wen shu 	文書	c=2 d=1.97045 t=168275
wen shui 	溫水	c=1 d=1 t=84392
wen si 	文思	c=2 d=1 t=134914
wen ta 	問他	c=2 d=1 t=80564
wen ti 	問題	c=618 d=1.39576 t=205779
wen ti ba 	問題吧	c=1 d=1 t=188756
wen ti de 	問題的	c=1 d=1 t=178097
wen ti dou shi 	問題都是	c=1 d=1 t=150095
wen ti shi 	問題是	c=2 d=1 t=196393
wen ti zai 	問題在	c=1 d=1 t=156050
wen ti zhong 	問題中	c=1 d=1 t=190051
wen tuo 	穩妥	c=1 d=1 t=32454
wen wo 	問我	c=6 d=1.03956 t=204518
wen wu 	文物	c=1 d=1.0802 t=66315
wen wu li 	文物裏	c=4 d=2.61765 t=66510
wen xian 	文獻	c=7 d=1 t=189390
wen xue 	文學	c=5 d=1 t=157098
wen yi 	瘟疫	c=1 d=1 t=95596
wen yi ci 	問一次	c=1 d=1 t=185535
wen yi fu xing 	文藝復興	c=1 d=1 t=95076
wen yi ge 	問一個	c=1 d=1 t=181653
wen yi xia 	問一下	c=50 d=1.03113 t=205343
wen yi xia ha 	問一下哈	c=1 d=1 t=196917
wen zhang 	文章	c=272 d=1.18922 t=205195
wen zhang de 	文章的	c=4 d=1 t=195780
wen zhang xin 	文章新	c=1 d=1 t=183221
wen zhang ye 	文章也	c=1 d=1 t=201507
wen zhang zhong 	文章中	c=4 d=1 t=198457
wen zhong 	文中	c=2 d=1 t=31475
wen zhou 	溫州	c=15 d=1.21126 t=102975
wen zi 	文字	c=32 d=1 t=191731
wen zi ban 	文字版	c=2 d=1 t=120855
wen zi gao 	文字搞	c=1 d=1 t=140222
wo 	喔	c=2 d=1 t=199570
wo 	我	c=2079 d=2.31064 t=206362
wo ai 	我愛	c=1 d=1 t=201397
wo ba 	我把	c=11 d=1 t=170866
wo ba 	我爸	c=3 d=1.94649 t=105173
wo bei 	我輩	c=1 d=1 t=86706
wo bu ren shi 	我不認識	c=1 d=1 t=30774
wo bu zhi 	我不知	c=1 d=1 t=83727
wo bu zhi dao 	我不知道	c=1 d=1 t=71115
wo cai shi 	我纔是	c=2 d=1 t=53085
wo chang shi 	我嘗試	c=1 d=1 t=70440
wo cong 	我從	c=3 d=1 t=177281
wo cuo 	我錯	c=1 d=1 t=203029
wo de 	我的	c=33 d=1.9802 t=203133
wo deng 	我等	c=2 d=1 t=150243
wo deng yi xia 	我等一下	c=2 d=1.01122 t=156202
wo di 	臥底	c=1 d=1 t=85699
wo dian 	我點	c=1 d=1 t=201375
wo dou 	我都	c=8 d=1 t=202955
wo dou shi 	我都是	c=2 d=1 t=195509
wo dui 	我對	c=1 d=1 t=197354
wo fa 	我發	c=1 d=1 t=78777
wo fa de 	我發的	c=1 d=1 t=185391
wo fa xian 	我發現	c=1 d=1 t=109769
wo fo 	臥佛	c=1 d=1 t=173998
wo gai cheng 	我改成	c=1 d=1 t=188496
wo gai hui lai 	我改回來	c=1 d=1 t=175060
wo gan jue 	我感覺	c=10 d=1 t=199246
wo gang kai shi 	我剛開始	c=1 d=1 t=155317
wo gei 	我給	c=1 d=1 t=204440
wo guo lai 	我過來	c=1 d=1 t=192350
wo hai mei you 	我還沒有	c=1 d=1 t=80188
wo hai shi 	我還是	c=4 d=1 t=172714
wo hai yi wei 	我還以爲	c=1 d=1 t=117498
wo hai zai 	我還在	c=3 d=1 t=189631
wo hao xiang 	我好想	c=1 d=1 t=68984
wo he 	我和	c=11 d=1 t=197987
wo hui 	我會	c=2 d=1 t=38929
wo ji 	沃瘠	c=1 d=1 t=158430
wo ji de 	我記得	c=5 d=1 t=149507
wo jia 	我家	c=1 d=1 t=43047
wo jiang 	我將	c=1 d=1 t=16505
wo jie shu 	我結束	c=1 d=1 t=155208
wo jin tian 	我今天	c=1 d=1 t=191932
wo jiu 	我就	c=10 d=1 t=178680
wo jiu shi 	我就是	c=1 d=1 t=68876
wo jue 	我絕	c=3 d=1 t=94156
wo jue de 	我覺得	c=12 d=1.03616 t=203276
wo kai shi 	我開始	c=1 d=1 t=150346
wo kan 	我看	c=85 d=1.86114 t=205924
wo kan dao 	我看到	c=2 d=1 t=66882
wo kan guo 	我看過	c=2 d=1.99501 t=43895
wo kan ni 	我看你	c=1 d=1 t=84941
wo kan ta 	我看她	c=1 d=1 t=80175
wo kan yi xia 	我看一下	c=1 d=1 t=198083
wo kan zhe 	我看着	c=1 d=1 t=146901
wo kang xia 	我扛下	c=1 d=1 t=181598
wo ke neng 	我可能	c=1 d=1 t=68864
wo ke yi 	我可以	c=7 d=1 t=198809
wo lai 	我來	c=2 d=1 t=203452
wo li jie 	我理解	c=3 d=1 t=200557
wo li jie de 	我理解的	c=1 d=1 t=189119
wo lian 	我連	c=1 d=1 t=75940
wo ma 	我媽	c=1 d=1 t=100008
wo mei 	我沒	c=1 d=1 t=31116
wo mei tian 	我每天	c=1 d=1 t=197961
wo mei you 	我沒有	c=10 d=1 t=183948
wo men 	我們	c=465 d=1.39794 t=205862
wo men cong 	我們從	c=1 d=1 t=189664
wo men de 	我們的	c=9 d=1.00004 t=201656
wo men ting dao 	我們聽到	c=1 d=1 t=134382
wo men xian zai 	我們現在	c=1 d=1 t=189704
wo men you 	我們有	c=6 d=1 t=205966
wo meng 	我盟	c=4 d=1 t=59830
wo ming bai 	我明白	c=1 d=1 t=44772
wo ming tian 	我明天	c=3 d=1 t=173213
wo mu qian 	我目前	c=1 d=1 t=121763
wo na fen 	我那份	c=1 d=1 t=93657
wo na ge 	我那個	c=1 d=1 t=198107
wo neng 	我能	c=6 d=1.02599 t=190603
wo neng bu neng 	我能不能	c=1 d=1 t=199691
wo neng yong 	我能用	c=1 d=1 t=121063
wo niu 	蝸牛	c=1 d=1 t=57725
wo pao 	我跑	c=1 d=1 t=154248
wo qiang lie 	我強烈	c=1 d=1 t=156190
wo qu 	我去	c=12 d=1.00833 t=198598
wo qu wen 	我去問	c=1 d=1 t=198102
wo qu zhao 	我去找	c=1 d=1 t=155301
wo quan bu 	我全部	c=1 d=1 t=90206
wo rang 	我讓	c=3 d=1.0018 t=202036
wo ren shi 	我認識	c=0 d=0.1 t=198488
wo ren shi de ren 	我認識的人	c=1 d=1 t=198489
wo ren wei 	我認爲	c=1 d=1 t=181279
wo shen me 	我什麼	c=1 d=1 t=105716
wo shi 	我是	c=7 d=1 t=140207
wo shi yao 	我是要	c=1 d=1 t=187056
wo shuo 	我說	c=2 d=1 t=200319
wo ting 	我聽	c=1 d=0.1 t=198115
wo ting fang lao shi 	我聽方老師	c=1 d=1 t=198116
wo xia 	我下	c=1 d=1 t=172932
wo xia ban 	我下班	c=1 d=1 t=72392
wo xia wu 	我下午	c=1 d=1 t=165935
wo xian 	我先	c=7 d=1 t=158663
wo xian zai 	我現在	c=11 d=1 t=195989
wo xiang 	我想	c=7 d=1 t=200442
wo xiang cuo 	我想錯	c=1 d=1 t=101816
wo xiang de 	我想的	c=2 d=1 t=190680
wo xie 	我寫	c=1 d=1 t=30469
wo xie guo 	我寫過	c=1 d=1 t=190661
wo xu yao 	我需要	c=1 d=1 t=191419
wo yao 	我要	c=11 d=0.1 t=196792
wo yao ba ni 	我要把你	c=1 d=1 t=196793
wo ye 	我也	c=33 d=1 t=206372
wo ye bu 	我也不	c=1 d=1 t=104438
wo ye neng 	我也能	c=1 d=1 t=81904
wo ye shi 	我也是	c=3 d=1 t=194674
wo ye yao 	我也要	c=2 d=1 t=192509
wo ye you 	我也有	c=1 d=1 t=198095
wo yi fen 	我一份	c=1 d=1 t=68919
wo yi wei 	我以爲	c=1 d=1 t=159315
wo yong 	我用	c=3 d=1 t=80522
wo yong zhe ge 	我用這個	c=1 d=1 t=159285
wo you 	我有	c=6 d=1 t=167985
wo you kong 	我有空	c=1 d=1 t=163900
wo zai 	我再	c=2 d=1 t=155326
wo zai 	我在	c=15 d=1 t=176926
wo zai gai 	我在改	c=1 d=1 t=142528
wo zai gong si 	我在公司	c=1 d=1 t=155298
wo zen me 	我怎麼	c=3 d=1 t=190550
wo zhao 	我找	c=2 d=1 t=185827
wo zhao dao 	我找到	c=1 d=1 t=199819
wo zhao yi xia 	我找一下	c=1 d=1 t=106280
wo zhe bian 	我這邊	c=20 d=1.12873 t=194016
wo zhe ge 	我這個	c=1 d=1 t=197206
wo zhen de 	我真的	c=1 d=1 t=149465
wo zhi chi 	我支持	c=1 d=1 t=170354
wo zhi jie 	我直接	c=1 d=1 t=58551
wo zhi qian 	我之前	c=1 d=1 t=70186
wo zhi you 	我只有	c=1 d=1 t=166081
wo zi ji 	我自己	c=10 d=1 t=178787
wo zuo tian 	我昨天	c=1 d=1 t=159089
wu 	五	c=26 d=1 t=200342
wu 	吳	c=31 d=1.98511 t=205602
wu 	吾	c=2 d=1 t=184452
wu 	武	c=4 d=1 t=175030
wu 	無	c=125 d=1.0185 t=204264
wu 	物	c=12 d=1.00055 t=148057
wu 	舞	c=4 d=1.9802 t=184560
wu 	誤	c=2 d=1 t=155389
wu 	霧	c=1 d=1 t=53897
wu ai 	吾愛	c=1 d=1 t=77282
wu bei 	吾輩	c=4 d=1 t=199468
wu bi 	五筆	c=4 d=1 t=78116
wu bi 	無比	c=0 d=0.1 t=97539
wu bing 	無病	c=4 d=1 t=153247
wu can 	午餐	c=7 d=1.00914 t=116870
wu cha 	誤差	c=9 d=1 t=201814
wu chang 	無常	c=1 d=1 t=126467
wu cheng 	無成	c=1 d=1 t=184151
wu dao 	悟道	c=1 d=1 t=35840
wu dao 	誤導	c=4 d=1 t=196489
wu di 	無敵	c=3 d=1.04619 t=139060
wu en da 	吳恩達	c=3 d=0.00596212 t=4073
wu fa 	無法	c=181 d=1 t=206673
wu fa shi yong 	無法使用	c=1 d=1 t=141929
wu fan 	午飯	c=3 d=1 t=199894
wu fei 	無非	c=1 d=0.00102302 t=4073
wu fen zhong 	五分鐘	c=1 d=1 t=112740
wu ge 	五個	c=2 d=1 t=39392
wu ge ren 	五個人	c=1 d=1 t=182129
wu gong 	務工	c=1 d=1 t=114743
wu gong 	武功	c=7 d=1.77161 t=178377
wu guan 	無關	c=8 d=1 t=169881
wu guan 	物管	c=1 d=1 t=179520
wu guan de 	無關的	c=1 d=1 t=204329
wu guang 	無光	c=1 d=1 t=31049
wu han 	武漢	c=23 d=1 t=202795
wu he 	烏合	c=3 d=1.933 t=73766
wu hua 	物化	c=1 d=1 t=114430
wu huan 	五環	c=1 d=1 t=21133
wu ji 	五級	c=1 d=1 t=187063
wu jian du 	無監督	c=2 d=1.02086 t=78441
wu jie 	誤解	c=2 d=1 t=199705
wu jin 	無盡	c=1 d=1 t=175550
wu lan ba tuo 	烏蘭巴托	c=1 d=1 t=172639
wu li 	物理	c=7 d=1 t=204777
wu li xue 	物理學	c=1 d=1 t=80689
wu liao 	無聊	c=12 d=1 t=191812
wu liao dao 	無聊到	c=1 d=1 t=95600
wu liu 	五六	c=1 d=0.1 t=96357
wu liu 	物流	c=2 d=1 t=206623
wu liu ren 	五六人	c=1 d=1 t=96358
wu lun 	無論	c=2 d=1 t=187749
wu mei 	物美	c=1 d=1 t=115422
wu nai 	無奈	c=1 d=1 t=196232
wu nao 	無腦	c=1 d=1 t=175371
wu neng 	無能	c=3 d=1 t=168583
wu pan 	誤判	c=1 d=1 t=73103
wu pian 	無偏	c=1 d=1 t=54334
wu pin 	物品	c=16 d=1 t=175649
wu qi 	武器	c=6 d=1 t=199714
wu qi 	無期	c=1 d=1 t=89185
wu qiong 	無窮	c=1 d=1 t=130192
wu qu 	誤區	c=1 d=1 t=109411
wu rao 	勿擾	c=3 d=1 t=170795
wu ren 	無人	c=1 d=1 t=198531
wu ren xiang 	無人相	c=1 d=1 t=136111
wu ru 	侮辱	c=1 d=1 t=31100
wu sheng 	吾生	c=1 d=1 t=164462
wu shi 	五十	c=1 d=1 t=110595
wu shi 	務實	c=1 d=1 t=110594
wu shi 	巫師	c=7 d=3.94015 t=112438
wu shi 	無視	c=3 d=1 t=157814
wu shi 	誤事	c=1 d=1 t=50071
wu shi ren fei 	物是人非	c=1 d=1 t=87380
wu shi wu ke 	無時無刻	c=1 d=1 t=96277
wu shu 	武術	c=1 d=1 t=85301
wu shu ci 	無數次	c=2 d=1 t=151422
wu shui 	午睡	c=4 d=1 t=200357
wu sun 	無損	c=1 d=1 t=116171
wu suo 	無所	c=2 d=1 t=147521
wu suo wei 	無所謂	c=1 d=1 t=26115
wu tai da 	無太大	c=1 d=1 t=159418
wu tang 	無糖	c=1 d=1 t=198901
wu wang 	武王	c=1 d=1 t=67431
wu wu 	五五	c=0 d=0.1 t=31107
wu wu kai 	五五開	c=2 d=1 t=88558
wu xi 	無錫	c=9 d=1.00278 t=78322
wu xia 	五下	c=1 d=0.000273284 t=4073
wu xia 	武俠	c=1 d=1 t=98042
wu xian 	無線	c=3 d=1 t=158816
wu xian 	無限	c=5 d=1 t=183343
wu xian da 	無限大	c=1 d=1 t=87329
wu xian de 	無限的	c=1 d=1 t=130742
wu xian zhi 	無限制	c=1 d=1 t=167778
wu xiao 	無效	c=3 d=1.14808 t=99772
wu xing 	五星	c=1 d=1 t=98505
wu xiu 	午休	c=2 d=1.99501 t=19294
wu xu 	無序	c=1 d=1 t=163377
wu xu 	無需	c=2 d=1 t=163376
wu yao 	無藥	c=1 d=1 t=29162
wu ye 	午夜	c=1 d=1 t=94439
wu yi 	五一	c=9 d=2.1245 t=159424
wu yi shi 	無意識	c=3 d=1 t=192895
wu yi xi wei gui 	物以稀爲貴	c=1 d=1 t=10725
wu yin 	無垠	c=2 d=1 t=116090
wu yong 	無用	c=4 d=1 t=65682
wu yong gong 	無用功	c=2 d=1.00096 t=196598
wu yu 	物語	c=5 d=1 t=104797
wu yue 	五月	c=1 d=1 t=139397
wu zhe 	舞者	c=1 d=1 t=71471
wu zhi 	無知	c=3 d=1 t=168542
wu zhong 	物種	c=1 d=1 t=97567
wu zi 	物資	c=8 d=1 t=118273
xi 	吸	c=1 d=1 t=115087
xi 	喜	c=2 d=1 t=142170
xi 	希	c=2 d=1 t=166363
xi 	席	c=1 d=1 t=45995
xi 	息	c=3 d=1 t=112443
xi 	戲	c=4 d=1 t=94252
xi 	曦	c=11 d=1 t=197751
xi 	析	c=2 d=1 t=147160
xi 	洗	c=10 d=1 t=186829
xi 	系	c=4 d=1 t=204316
xi 	西	c=11 d=1.99501 t=177334
xi an 	西安	c=60 d=0.100998 t=202679
xi an de 	西安的	c=3 d=1 t=205646
xi an wai 	西安外	c=1 d=1 t=202680
xi bai 	洗白	c=1 d=1 t=99211
xi bei 	西北	c=1 d=1 t=45945
xi bo lai 	希伯來	c=1 d=1 t=24806
xi bu 	細部	c=1 d=1 t=160443
xi bu 	西部	c=9 d=1.116 t=126402
xi bu shi jie 	西部世界	c=4 d=1.00019 t=126400
xi cheng 	戲稱	c=2 d=1.87372 t=76391
xi chun 	惜春	c=1 d=1 t=172304
xi er 	西二	c=0 d=0.1 t=97216
xi er qi 	西二旗	c=1 d=1 t=97217
xi fang 	西方	c=1 d=1 t=92768
xi fen 	細分	c=3 d=1 t=202241
xi gong da 	西工大	c=1 d=1 t=45943
xi gou 	西溝	c=0 d=0.1 t=143912
xi gou han shu 	西溝函數	c=1 d=1 t=143913
xi gua 	西瓜	c=10 d=1 t=184546
xi guan 	習慣	c=40 d=1 t=200116
xi hai 	西海	c=1 d=1 t=27348
xi hao 	喜好	c=3 d=1.73174 t=10611
xi hong shi 	西紅柿	c=1 d=1 t=115937
xi hua 	細化	c=1 d=1 t=191790
xi huan 	喜歡	c=44 d=1.22161 t=203733
xi huan ba 	喜歡吧	c=1 d=1 t=159687
xi huan de 	喜歡的	c=1 d=1 t=134088
xi jie 	洗劫	c=1 d=1 t=108985
xi jie 	細節	c=30 d=1.00001 t=201214
xi ju 	喜劇	c=1 d=1 t=98951
xi ju 	戲劇	c=1 d=1 t=98950
xi la yu 	希臘語	c=1 d=1 t=109239
xi lie 	系列	c=12 d=1 t=179071
xi lu 	西路	c=1 d=1 t=15608
xi men 	西門	c=1 d=1 t=200056
xi nao 	洗腦	c=2 d=1 t=183013
xi nong 	細農	c=1 d=1 t=106974
xi pin 	細品	c=1 d=1 t=203026
xi qing 	喜慶	c=1 d=1 t=94285
xi qu 	吸取	c=1 d=1 t=138087
xi qu 	西區	c=1 d=1 t=139485
xi que 	稀缺	c=3 d=1.69897 t=10781
xi shan 	西山	c=1 d=1 t=142125
xi sheng 	犧牲	c=5 d=1.95123 t=195882
xi shou 	吸收	c=3 d=1 t=119633
xi shu 	係數	c=6 d=1 t=203572
xi shu 	洗漱	c=6 d=1 t=205387
xi shu 	稀疏	c=37 d=1.00012 t=204207
xi shu bao 	洗漱包	c=1 d=0.0816756 t=4073
xi shu xing 	稀疏性	c=3 d=1.02638 t=172865
xi shuo 	細說	c=3 d=1.00011 t=87623
xi sou 	洗漱	c=1 d=1 t=170682
xi tiao 	繫條	c=1 d=1 t=150617
xi tong 	系統	c=139 d=1 t=198617
xi wan 	洗完	c=1 d=1 t=186842
xi wang 	希望	c=69 d=1.00648 t=198494
xi xiang 	西廂	c=4 d=1.08804 t=43621
xi xiang ji 	西廂記	c=1 d=1 t=16975
xi xie 	吸血	c=1 d=1 t=52660
xi yan 	吸菸	c=3 d=1.00001 t=106481
xi yi 	洗衣	c=0 d=0.1 t=10511
xi yi fu 	洗衣服	c=1 d=1 t=186823
xi yi ye 	洗衣液	c=5 d=1 t=73447
xi yin 	吸引	c=9 d=1 t=204967
xi you 	稀有	c=2 d=1.99501 t=89033
xi you 	西遊	c=2 d=1.9802 t=89038
xi you ji 	西遊記	c=1 d=1 t=24775
xi yue 	喜悅	c=2 d=1 t=195697
xi zao 	洗澡	c=7 d=1.00001 t=184509
xi zhi 	細緻	c=1 d=1 t=134201
xi zhong 	戲中	c=1 d=1 t=200456
xi zhuang 	西裝	c=1 d=0.128735 t=4073
xia 	下	c=192 d=1.0573 t=204719
xia 	嚇	c=2 d=1 t=167052
xia 	夏	c=4 d=1 t=94315
xia 	瞎	c=13 d=1 t=204542
xia 	蝦	c=4 d=1.0602 t=204541
xia 	霞	c=1 d=1 t=198646
xia ban 	下班	c=31 d=1 t=206091
xia ban nian 	下半年	c=9 d=1 t=171365
xia ban qian 	下班前	c=1 d=1 t=125877
xia biao 	下標	c=1 d=1 t=24902
xia biao 	下表	c=1 d=1 t=68236
xia cai yang 	下採樣	c=1 d=1 t=147603
xia ceng 	下層	c=1 d=1 t=29579
xia chai le 	下拆了	c=1 d=1 t=169434
xia chang 	下場	c=1 d=1 t=128264
xia che 	下車	c=4 d=1 t=102546
xia che dian 	下車點	c=3 d=1 t=102561
xia ci 	下次	c=47 d=1.99005 t=203510
